"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1333","test_playwright_product[chromium]","tests","2026-09-21","passed","2026-09-21","","test_login","",""
"","635","test_shangpin_dinggou[chromium]","tests","2026-09-21","passed","2026-09-21","","test_login","",""
